,text,favourite_count,retweet_count,created_at
40,"RT @supriya_sule: We, more so as elected public representatives should all strive towards building an inclusive society.
@LgbtqIndia 
@priy…",0,0,2021-12-31 14:22:31+00:00
41,"RT @supriya_sule: We, more so as elected public representatives should all strive towards building an inclusive society.
@LgbtqIndia 
@priy…",0,0,2021-12-31 14:21:57+00:00
42,"RT @supriya_sule: We, more so as elected public representatives should all strive towards building an inclusive society.
@LgbtqIndia 
@priy…",0,0,2021-12-31 14:18:54+00:00
43,"We, more so as elected public representatives should all strive towards building an inclusive society.
@LgbtqIndia 
@priyaspeaks",166,19,2021-12-31 14:17:10+00:00
44,RT @cre8ives2dio: @cre8ives2dio presents the Exclusive Posters of our Film and it will be releasing on 30th JANUARY 2022 PREMIER on YouTube…,0,0,2021-12-31 06:23:05+00:00
45,@cre8ives2dio presents the Exclusive Posters of our Film and it will be releasing on 30th JANUARY 2022 PREMIER on Y… https://t.co/6zSW8Nuoj9,2,1,2021-12-31 06:21:43+00:00
46,Why these kinda ppl still exist in the government? #orinam #pride #lgbtqindia https://t.co/pmXTnbJn03,1,0,2021-12-30 17:53:16+00:00
47,"Queerphobic Rant by this dumb idiot deserves utter condemnation
The fact that he wasn't interrupted and doesn't hav… https://t.co/ShEvYoW9eU",0,0,2021-12-30 17:30:17+00:00
48,"RT @Komali51415236: @LgbtqIndia I am komali, I am trans gender woman, I am not from hijra community culture. And we are not enchus. All tra…",0,0,2021-12-30 12:22:16+00:00
49,#LGBTQ #LGBTQIA #LGBTQIndia #SudhirMungantiwar #homophobia #homophobic #stophomophobia #LGBTIndia #bjp… https://t.co/yeYyamLMF3,1,0,2021-12-30 10:26:08+00:00
50,RT @LgbtqIndia: The Black Gloved Writer : Sex workers and the Game called Red Light/Red Light https://t.co/lwt2F7LopE,0,0,2021-12-30 09:52:46+00:00
51,RT @LgbtqIndia: Straight talk: Latheesh Lakshman’s work mocks the Malayali society’s false sense of superiority and the heteronormative nar…,0,0,2021-12-30 09:42:10+00:00
52,RT @LgbtqIndia: Legalisation Of Gay Marriages Is Essential For The Indian Economy And Here’s Why https://t.co/E99IjOVFXD,0,0,2021-12-30 09:40:52+00:00
53,"RT @LgbtqIndia: Sonam Kapoor slams BJP MLA Sudhir Mungantiwar's remarks on LGBTQ community: Ignorant, illiterate  https://t.co/MXHtDazOxZ v…",0,0,2021-12-30 09:40:46+00:00
54,"BJP MLA @SMungantiwar’s remarks on the LGBTQ+ community are ignorant, hurtful, misguided and downright disgusting.… https://t.co/0FjAhGRPLe",2,1,2021-12-30 09:40:39+00:00
55,"RT @LgbtqIndia: [LGBTQIA+] The judiciary's path towards ""woke-ness"" till 2021 https://t.co/YawU2hOQss",0,0,2021-12-30 09:35:38+00:00
56,"RT @Komali51415236: @LgbtqIndia Please tell to hijra community people, that trans woman meaning is not hijra. Hijra is cultural identity an…",0,0,2021-12-30 09:00:27+00:00
57,"...community are provided with #food &amp; #medical care, apart from expert advice for gender #transition #surgeries, a… https://t.co/cuKM1Gc0VK",0,0,2021-12-30 06:24:00+00:00
58,RT @Vaibhav25771632: This is Super Progressive. LGBT Community should learn from them and come out in mainstream. It inspires millions of P…,0,0,2021-12-30 03:09:33+00:00
59,"RT @LgbtqIndia: BJP leader Sudhir Mungantiwar objected to provisions to include LGBTQ community in university act amendment bill: ""How will…",0,0,2021-12-30 02:36:30+00:00
60,"RT @Komali51415236: @LgbtqIndia I am komali, I am trans gender woman, I am not from hijra community culture. And we are not enchus. All tra…",0,0,2021-12-29 19:13:38+00:00
61,Can anyone suggest a documentary or a movie for an Indian guy I know who wants to change his future kids if they ar… https://t.co/LKoIiPgBbh,0,0,2021-12-29 19:13:21+00:00
62,"@LgbtqIndia Please tell to hijra community people, that trans woman meaning is not hijra. Hijra is cultural identit… https://t.co/i85AbDL7q7",1,2,2021-12-29 19:03:40+00:00
63,"@LgbtqIndia I am komali, I am trans gender woman, I am not from hijra community culture. And we are not enchus. All… https://t.co/6MxWWQfpCd",2,2,2021-12-29 18:58:09+00:00
64,"RT @LgbtqIndia: BJP leader Sudhir Mungantiwar objected to provisions to include LGBTQ community in university act amendment bill: ""How will…",0,0,2021-12-29 18:44:55+00:00
65,"RT @Vignesh50880630: Hey y'all ""RW allies"" this the bullcrap you wanted us to put up with. No thenk yewww. Next.",0,0,2021-12-29 16:56:08+00:00
66,"RT @Vignesh50880630: Hey y'all ""RW allies"" this the bullcrap you wanted us to put up with. No thenk yewww. Next.",0,0,2021-12-29 16:52:12+00:00
67,"Hey y'all ""RW allies"" this the bullcrap you wanted us to put up with. No thenk yewww. Next. https://t.co/lLlUsDCrNt",6,2,2021-12-29 15:41:43+00:00
68,RT @LgbtqIndia: Rainbow Olympics To Queer Superheroes: How 2021 Brought More Promise For LGBTQIA+ Community via @Indiatimes https://t.co/kO…,0,0,2021-12-29 15:28:22+00:00
69,"'The Game Of Sexes' is a series on mixed-gender cricket.
#EORTV brings a change with their latest series… https://t.co/oQYMq1ECHo",0,0,2021-12-29 11:44:26+00:00
70,"EORTV brings a change with their latest series #GameOfTheSexes
exclusive on EORTV
It is believed that men and women… https://t.co/rl4ijHwNUj",0,0,2021-12-29 11:33:29+00:00
71,"EORTV brings a change with their latest series #GameOfTheSexes

#GameOfTheSexes streaming exclusive on EORTV
.
.… https://t.co/BPYcv5uaOZ",0,0,2021-12-29 10:55:51+00:00
72,"RT @LgbtqIndia: Singles, queers seek legal route to beat surrogacy bill, become parents https://t.co/Cd2Ua8wJMw via @timesofindia",0,0,2021-12-29 08:41:54+00:00
